رقم الحساب,اسم الحساب,الحساب الأب,مجموعة,نوع الحساب,ملاحظات
1,الأصول,,نعم,,رئيسي
11,الأصول المتداولة,1,نعم,,رئيسي
1101,الصندوق,11,لا,Cash,حساب نقدي رئيسي
1102,البنك,11,لا,Bank,حساب البنك الرئيسي
1103,المحافظ الإلكترونية,11,لا,Cash,محافظ وحوالات إلكترونية
12,الذمم المدينة,1,نعم,,رئيسي
1201,ذمم العملاء,12,لا,Receivable,حساب تحكم العملاء
13,مبالغ مدفوعة نيابة عن العملاء,1,نعم,,مصروفات قابلة للاسترداد
1301,رسوم جمركية مدفوعة نيابة عن العملاء,13,لا,,قابلة للتحميل على العميل
1302,رسوم موانئ ومنافذ,13,لا,,قابلة للتحميل على العميل
1303,نقل ومناولة,13,لا,,قابلة للتحميل على العميل
1304,مصروفات ملفات تخليص قابلة للاسترداد,13,لا,,قابلة للتحميل على العميل
14,السلف والدفعات المقدمة,1,نعم,,رئيسي
1401,سلف موظفين,14,لا,,سلف
1402,مصروفات مدفوعة مقدماً,14,لا,,مقدم
15,الأصول الثابتة,1,نعم,,رئيسي
1501,أثاث وتجهيزات,15,لا,Fixed Asset,أصل ثابت
1502,أجهزة وطابعات,15,لا,Fixed Asset,أصل ثابت
1503,سيارات,15,لا,Fixed Asset,أصل ثابت
1591,مجمع الإهلاك,15,لا,Accumulated Depreciation,مقابل الأصول
2,الالتزامات,,نعم,,رئيسي
21,الالتزامات المتداولة,2,نعم,,رئيسي
2101,ذمم الموردين,21,لا,Payable,حساب تحكم الموردين
2102,دفعات مقدمة من العملاء,21,لا,,التزامات للعملاء
2103,مصروفات مستحقة,21,لا,,مستحق
2104,ضرائب ورسوم مستحقة,21,لا,Tax,ضرائب ورسوم
3,حقوق الملكية,,نعم,,رئيسي
31,رأس المال,3,نعم,,رئيسي
3101,رأس مال المالك,31,لا,Equity,رأس المال
32,الأرباح المحتجزة,3,نعم,,رئيسي
3201,أرباح وخسائر سنوات سابقة,32,لا,Equity,أرباح محتجزة
4,الإيرادات,,نعم,,رئيسي
41,إيرادات الخدمات,4,نعم,,رئيسي
4101,أجور التخليص الجمركي,41,لا,Income Account,إيراد خدمة
4102,أجور التصاريح,41,لا,Income Account,إيراد خدمة
4103,أجور الطباعة,41,لا,Income Account,إيراد خدمة
4104,أجور خدمات ومتابعة معاملات,41,لا,Income Account,إيراد خدمة
42,إيرادات أخرى,4,نعم,,رئيسي
4201,إيرادات أخرى,42,لا,Income Account,إيرادات متنوعة
5,المصروفات,,نعم,,رئيسي
50,تكاليف خدمات مباشرة,5,نعم,,رئيسي
5001,تكاليف تخليص مباشرة,50,لا,Cost of Goods Sold,تكلفة مباشرة
51,مصروفات التشغيل والتسهيلات,5,نعم,,رئيسي
5101,أجور عمال,51,لا,Expense Account,تشغيل
5102,نقل,51,لا,Expense Account,تشغيل
5103,تحميل وتنزيل,51,لا,Expense Account,تشغيل
5104,تخزين,51,لا,Expense Account,تشغيل
5105,رسوم وخدمات تشغيلية,51,لا,Expense Account,تشغيل
5106,فحص ومعاينة,51,لا,Expense Account,تشغيل
5107,رسوم تصاريح,51,لا,Expense Account,تشغيل
52,مصروفات المكتب,5,نعم,,رئيسي
5201,إيجار,52,لا,Expense Account,مكتب
5202,كهرباء,52,لا,Expense Account,مكتب
5203,ماء,52,لا,Expense Account,مكتب
5204,إنترنت واتصالات,52,لا,Expense Account,مكتب
5205,رواتب,52,لا,Expense Account,مكتب
5206,قرطاسية ومطبوعات,52,لا,Expense Account,مكتب
5207,صيانة,52,لا,Expense Account,مكتب
53,مصروفات عامة,5,نعم,,رئيسي
5301,إعلانات,53,لا,Expense Account,عام
5302,رسوم بنكية وحوالات,53,لا,Expense Account,عام
5303,اشتراكات وخدمات سحابية,53,لا,Expense Account,عام
5304,فروقات عملة,53,لا,Expense Account,عام
5399,مصروفات أخرى,53,لا,Expense Account,عام
54,إهلاك وتسويات,5,نعم,,رئيسي
5401,مصروف إهلاك,54,لا,Depreciation,إهلاك
5402,تسوية مخزون,54,لا,Expense Account,تسويات
